county,state,pay,employee
Hancock,Maine,2724,59
Kennebec,Maine,8026,190
Knox,Maine,1610,43
Lincoln,Maine,396,9
Oxford,Maine,40846,891
Penobscot,Maine,40543,843
Piscataquis,Maine,30539,726
Somerset,Maine,103565,1526
Waldo,Maine,7029,156
Washington,Maine,4221,107
York,Maine,13869,294
Allegany,Maryland,1196,33
Anne Arundel,Maryland,23743,435
Baltimore,Maryland,17778,327
Baltimore city,Maryland,15865,385
Calvert,Maryland,5865,130
Caroline,Maryland,2664,55
Carroll,Maryland,26253,595
Cecil,Maryland,1956,51
Charles,Maryland,384,12
Dorchester,Maryland,2102,58
Frederick,Maryland,42525,1040
Garrett,Maryland,8316,235
Harford,Maryland,1212,31
Howard,Maryland,4583,100
Montgomery,Maryland,2511,56
Queen Anne's,Maryland,19312,498
St. Mary's,Maryland,522,12
Talbot,Maryland,5360,200
Washington,Maryland,5473,164
Wicomico,Maryland,5674,124
Barnstable,Massachusetts,2003,50
Berkshire,Massachusetts,121236,690
Bristol,Massachusetts,54122,993
Essex,Massachusetts,32881,596
Franklin,Massachusetts,15765,316
Hampden,Massachusetts,92862,1626
Hampshire,Massachusetts,36360,672
Middlesex,Massachusetts,83673,1325
Norfolk,Massachusetts,28490,433
Plymouth,Massachusetts,5682,114
Suffolk,Massachusetts,6185,115
Worcester,Massachusetts,176959,2889
Alcona,Michigan,2559,54
Alger,Michigan,8557,187
Allegan,Michigan,27242,515
Alpena,Michigan,21716,471
Antrim,Michigan,3623,99
Baraga,Michigan,5771,121
Barry,Michigan,5150,119
Bay,Michigan,5645,98
Berrien,Michigan,12202,240
Branch,Michigan,4212,116
Calhoun,Michigan,34706,576
Cass,Michigan,18812,386
Charlevoix,Michigan,334,10
Cheboygan,Michigan,55,3
Chippewa,Michigan,1191,40
Clare,Michigan,6663,135
Clinton,Michigan,3538,85
Crawford,Michigan,19766,350
Delta,Michigan,7473,184
Dickinson,Michigan,21773,405
Eaton,Michigan,20614,456
Emmet,Michigan,3290,75
Genesee,Michigan,17422,464
