county,state,pay,employee
Coles,Illinois,752506,19330
Cook,Illinois,157638742,2413447
Crawford,Illinois,284118,5791
Cumberland,Illinois,61241,2378
DeKalb,Illinois,1133833,27446
De Witt,Illinois,248420,4694
Douglas,Illinois,268379,6669
DuPage,Illinois,35910817,580152
Edgar,Illinois,242340,6478
Edwards,Illinois,90861,1948
Effingham,Illinois,1057383,26716
Fayette,Illinois,141275,4569
Ford,Illinois,176053,4388
Franklin,Illinois,239929,6683
Fulton,Illinois,199801,5988
Gallatin,Illinois,23310,570
Greene,Illinois,53014,1620
Grundy,Illinois,924693,17344
Hamilton,Illinois,65015,1628
Hancock,Illinois,118240,2915
Hardin,Illinois,18524,617
Henderson,Illinois,18679,676
Henry,Illinois,498828,13182
Iroquois,Illinois,201926,5923
Jackson,Illinois,590253,16563
Jasper,Illinois,58878,1635
Jefferson,Illinois,768671,17578
Jersey,Illinois,138161,4774
Jo Daviess,Illinois,220128,6147
Johnson,Illinois,30759,1285
Kane,Illinois,9205344,193876
Kankakee,Illinois,1460548,36277
Kendall,Illinois,839639,23617
Knox,Illinois,484495,15483
Lake,Illinois,22960473,317916
LaSalle,Illinois,1591665,36655
Lawrence,Illinois,122478,3369
Lee,Illinois,438187,10656
Livingston,Illinois,513737,11243
Logan,Illinois,258822,7473
McDonough,Illinois,283349,8653
McHenry,Illinois,3947964,85439
McLean,Illinois,3935688,74122
Macon,Illinois,2276005,44314
Macoupin,Illinois,278340,8314
Madison,Illinois,3865685,90312
Marion,Illinois,416461,11107
Marshall,Illinois,96907,2604
Mason,Illinois,79598,2296
Massac,Illinois,113019,3125
Menard,Illinois,42419,1226
Mercer,Illinois,82429,2312
Monroe,Illinois,297599,8387
Montgomery,Illinois,239720,7176
Morgan,Illinois,479118,12749
Moultrie,Illinois,203471,4914
Ogle,Illinois,634786,14228
Peoria,Illinois,6291718,108245
Perry,Illinois,144847,4057
Piatt,Illinois,91341,2513
Pike,Illinois,102832,3063
Pope,Illinois,5416,319
Pulaski,Illinois,16497,594
Putnam,Illinois,72020,1285
Randolph,Illinois,413388,11097
Richland,Illinois,193322,5440
Rock Island,Illinois,3310270,64754
St. Clair,Illinois,3010149,75675
Saline,Illinois,231455,6547
Sangamon,Illinois,3601143,83917
Schuyler,Illinois,36430,1150
Scott,Illinois,24005,532
Shelby,Illinois,151788,4479
Stark,Illinois,39468,967
Stephenson,Illinois,677198,14659
Tazewell,Illinois,1800815,41934
Union,Illinois,102835,3551
Vermilion,Illinois,985496,23513
Wabash,Illinois,119236,2959
Warren,Illinois,220579,6274
Washington,Illinois,283443,6662
Wayne,Illinois,93064,3074
White,Illinois,107365,3070
Whiteside,Illinois,699940,17778
Will,Illinois,10818482,229996
Williamson,Illinois,941957,24672
Winnebago,Illinois,5336085,119972
Woodford,Illinois,328408,8263
Adams,Indiana,463999,12005
Allen,Indiana,8062945,180061
Bartholomew,Indiana,2503956,47437
Benton,Indiana,52773,1370
Blackford,Indiana,110063,2884
Boone,Indiana,1026451,25414
Brown,Indiana,58810,2322
Carroll,Indiana,173303,4745
Cass,Indiana,444932,12857
Clark,Indiana,1977587,49903
Clay,Indiana,199565,5951
Clinton,Indiana,378675,10062
Crawford,Indiana,49555,1366
Daviess,Indiana,384177,10630
Dearborn,Indiana,465521,12461
Decatur,Indiana,509511,12062
DeKalb,Indiana,1009221,22368
Delaware,Indiana,1547865,42027
Dubois,Indiana,1239885,29009
Elkhart,Indiana,6579289,143550
Fayette,Indiana,189597,5135
Floyd,Indiana,1165068,29177
Fountain,Indiana,135400,3762
Franklin,Indiana,258798,5841
Fulton,Indiana,180756,5000
Gibson,Indiana,1012914,19193
Grant,Indiana,999944,28228
Greene,Indiana,148464,4706
Hamilton,Indiana,7880885,148171
Hancock,Indiana,913039,20365
Harrison,Indiana,313169,8959
Hendricks,Indiana,2501985,61953
Henry,Indiana,399234,11167
Howard,Indiana,1525453,33380
Huntington,Indiana,449635,13137
Jackson,Indiana,996387,21272
Jasper,Indiana,342941,8702
Jay,Indiana,230728,6388
Jefferson,Indiana,446510,11366
Jennings,Indiana,257266,6368
Johnson,Indiana,1854974,49959
Knox,Indiana,541758,14090
Kosciusko,Indiana,1971775,38382
LaGrange,Indiana,645791,14370
Lake,Indiana,7922501,168474
LaPorte,Indiana,1416856,36488
Lawrence,Indiana,485195,11828
Madison,Indiana,1338185,35627
Marion,Indiana,28635285,528703
Marshall,Indiana,678529,17345
Martin,Indiana,115967,2480
Miami,Indiana,232120,6666
Monroe,Indiana,2083887,51924
Montgomery,Indiana,599229,13427
Morgan,Indiana,465556,12417
Newton,Indiana,82644,2292
Noble,Indiana,683385,16856
Ohio,Indiana,25970,1014
Orange,Indiana,313032,7186
Owen,Indiana,107538,3250
Parke,Indiana,68791,2155
Perry,Indiana,229303,5775
Pike,Indiana,102366,2049
Porter,Indiana,2613243,55382
Posey,Indiana,539664,9103
Pulaski,Indiana,171453,3906
Putnam,Indiana,410466,11966
Randolph,Indiana,208481,5526
Ripley,Indiana,390619,9395
Rush,Indiana,169581,4003
St. Joseph,Indiana,5237752,122144
Scott,Indiana,247831,7069
Shelby,Indiana,716494,16437
Spencer,Indiana,233601,5205
Starke,Indiana,107826,3059
Steuben,Indiana,555577,15039
Sullivan,Indiana,168610,3930
Switzerland,Indiana,55542,1573
Tippecanoe,Indiana,3221790,71259
Tipton,Indiana,192084,4598
Union,Indiana,30192,940
Vanderburgh,Indiana,4628357,105259
Vermillion,Indiana,200385,3471
Vigo,Indiana,1653321,44320
Wabash,Indiana,400103,10881
Warren,Indiana,61610,1657
Warrick,Indiana,673307,14840
Washington,Indiana,156951,4867
Wayne,Indiana,1000400,25894
Wells,Indiana,388016,10440
White,Indiana,278257,7343
Whitley,Indiana,491936,11629
Adair,Iowa,61771,1943
Adams,Iowa,35464,940
Allamakee,Iowa,144427,4058
Appanoose,Iowa,126422,3470
Audubon,Iowa,48789,1327
Benton,Iowa,159600,4423
Black Hawk,Iowa,2692549,63282
Boone,Iowa,251645,6905
Bremer,Iowa,397572,9134
Buchanan,Iowa,200665,5252
Buena Vista,Iowa,328756,8939
Butler,Iowa,85226,2500
Calhoun,Iowa,88742,2422
Carroll,Iowa,387258,10198
Cass,Iowa,169637,4763
Cedar,Iowa,141993,4006
Cerro Gordo,Iowa,837012,20178
Cherokee,Iowa,142956,3702
Chickasaw,Iowa,170527,4116
Clarke,Iowa,126723,3357
Clay,Iowa,266749,7208
Clayton,Iowa,212513,5509
Clinton,Iowa,667597,16996
Crawford,Iowa,250433,5825
Dallas,Iowa,2079152,39279
Davis,Iowa,57793,1525
Decatur,Iowa,44541,1762
Delaware,Iowa,265396,6255
Des Moines,Iowa,806697,19819
Dickinson,Iowa,297436,7553
Dubuque,Iowa,2463870,55865
Emmet,Iowa,105852,2990
Fayette,Iowa,191722,5974
Floyd,Iowa,226895,5377
Franklin,Iowa,128737,3189
Fremont,Iowa,69262,1962
Greene,Iowa,103513,2874
Grundy,Iowa,148393,3037
Guthrie,Iowa,70683,2124
Hamilton,Iowa,184131,4530
Hancock,Iowa,161099,4036
Hardin,Iowa,219606,5393
Harrison,Iowa,112220,3120
Henry,Iowa,304071,7904
Howard,Iowa,102323,2999
Humboldt,Iowa,139915,3522
Ida,Iowa,152202,3357
Iowa,Iowa,339596,8447
Jackson,Iowa,167424,5139
Jasper,Iowa,329332,9231
Jefferson,Iowa,283394,7170
Johnson,Iowa,2944920,66248
Jones,Iowa,161052,4364
Keokuk,Iowa,61276,1699
Kossuth,Iowa,232217,5716
Lee,Iowa,615049,14624
Linn,Iowa,6273133,118397
Louisa,Iowa,113596,3055
Lucas,Iowa,137192,3375
Lyon,Iowa,158035,3705
Madison,Iowa,101432,2790
Mahaska,Iowa,233766,6434
Marion,Iowa,739987,16214
Marshall,Iowa,571882,13163
Mills,Iowa,82455,2266
