STATEFP,COUNTYFP,state_abb,state,county,pct.forest,pct.employees,pct.earnings,pct.indigenous,nonmetro,rural
6,107,CA,California,Tulare,43.31,1.65,1.98,1.34,0,0
6,109,CA,California,Tuolumne,74.09,3.2,4.89,2.1,1,0
6,111,CA,California,Ventura,19.7,0.32,0.4,1.04,0,0
6,113,CA,California,Yolo,9.97,0.48,0.45,1.04,0,0
6,115,CA,California,Yuba,45.31,0.7,0.64,1.88,0,0
8,1,CO,Colorado,Adams,0.19,0.58,0.62,1.38,0,0
8,3,CO,Colorado,Alamosa,6.09,0,0,3.59,1,0
8,5,CO,Colorado,Arapahoe,1.11,0.06,0.04,0.88,0,0
8,7,CO,Colorado,Archuleta,82.26,0,0,1.49,1,0
8,9,CO,Colorado,Baca,1.56,0,0,1.71,1,1
8,11,CO,Colorado,Bent,3.87,0,0,1.24,1,0
8,13,CO,Colorado,Boulder,50.68,0.21,0.18,0.59,0,0
8,14,CO,Colorado,Broomfield,0,0,0,0.53,0,0
8,15,CO,Colorado,Chaffee,63.46,0,0,0.22,1,0
8,17,CO,Colorado,Cheyenne,0,0,0,0.29,1,1
8,19,CO,Colorado,Clear Creek,66.78,0,0,0.39,0,0
8,21,CO,Colorado,Conejos,32.01,0,0,2.74,1,1
8,23,CO,Colorado,Costilla,38.49,0,0,2.17,1,1
8,25,CO,Colorado,Crowley,0,0,0,1.51,1,1
8,27,CO,Colorado,Custer,52.06,0,0,0.95,1,1
8,29,CO,Colorado,Delta,45.25,1.51,2.41,1.08,1,0
8,31,CO,Colorado,Denver,0,0.19,0.17,1.13,0,0
8,33,CO,Colorado,Dolores,59.44,0,0,0.71,1,1
8,35,CO,Colorado,Douglas,42.81,0.1,0.08,0.41,0,0
8,37,CO,Colorado,Eagle,70.04,0.01,0.02,0.36,1,0
8,39,CO,Colorado,Elbert,2.74,0,0,0.92,0,0
8,41,CO,Colorado,El Paso,16.91,0.15,0.14,1.07,0,0
8,43,CO,Colorado,Fremont,70.8,0.26,0.36,1.42,1,0
8,45,CO,Colorado,Garfield,66.57,0.1,0.09,0.71,1,0
8,47,CO,Colorado,Gilpin,96.42,0,0,2.89,0,0
8,49,CO,Colorado,Grand,64.22,1.2,1.47,0.63,1,0
8,51,CO,Colorado,Gunnison,57.97,0.17,0.17,1.11,1,0
8,53,CO,Colorado,Hinsdale,56.07,0,0,2.73,1,1
8,55,CO,Colorado,Huerfano,41.76,0,0,1.75,1,0
8,57,CO,Colorado,Jackson,40.81,7.37,9.21,0,1,1
8,59,CO,Colorado,Jefferson,60.95,0.15,0.21,0.77,0,0
8,61,CO,Colorado,Kiowa,0,0,0,0,1,1
8,63,CO,Colorado,Kit Carson,0,0,0,0.93,1,0
8,65,CO,Colorado,Lake,52.12,0,0,0.99,1,0
8,67,CO,Colorado,La Plata,70.1,0.06,0.04,6.26,1,0
8,69,CO,Colorado,Larimer,52.61,0.3,0.26,0.78,0,0
8,71,CO,Colorado,Las Animas,31.22,0,0,3.57,1,0
8,73,CO,Colorado,Lincoln,0,0,0,1.44,1,1
8,75,CO,Colorado,Logan,0.52,0,0,0.48,1,0
8,77,CO,Colorado,Mesa,61.17,0.13,0.11,1.13,0,0
8,79,CO,Colorado,Mineral,69,0,0,1.09,1,1
8,81,CO,Colorado,Moffat,25.38,0,0,1.01,1,0
8,83,CO,Colorado,Montezuma,54.97,1.57,1.29,12.57,1,0
8,85,CO,Colorado,Montrose,66.4,1.21,1.51,1.28,1,0
8,87,CO,Colorado,Morgan,0.34,0,0,0.53,1,0
8,89,CO,Colorado,Otero,3.68,0,0,1.69,1,0
8,91,CO,Colorado,Ouray,67.01,0,0,1.14,1,1
8,93,CO,Colorado,Park,48.54,0.69,1.2,1.78,0,0
8,95,CO,Colorado,Phillips,0,0,0,0.25,1,1
8,97,CO,Colorado,Pitkin,64.28,0,0,0.12,1,0
8,99,CO,Colorado,Prowers,0,0,0,1.33,1,0
8,101,CO,Colorado,Pueblo,12.26,0.2,0.21,3.77,0,0
8,103,CO,Colorado,Rio Blanco,62.77,0,0,0.85,1,1
8,105,CO,Colorado,Rio Grande,44.41,1.25,1.73,2.77,1,0
8,107,CO,Colorado,Routt,59.8,0.05,0.05,0.62,1,0
8,109,CO,Colorado,Saguache,46.17,0,0,2.63,1,1
8,111,CO,Colorado,San Juan,41.45,0,0,1.29,1,1
8,113,CO,Colorado,San Miguel,59.28,0,0,0.53,1,1
8,115,CO,Colorado,Sedgwick,0,0,0,0.72,1,1
8,117,CO,Colorado,Summit,58.33,0,0,0.67,1,0
8,119,CO,Colorado,Teller,77.81,0,0,0.49,0,0
8,121,CO,Colorado,Washington,0,0,0,0.29,1,1
8,123,CO,Colorado,Weld,0,0.63,0.53,0.78,0,0
8,125,CO,Colorado,Yuma,0.29,0,0,0.51,1,0
9,1,CT,Connecticut,Fairfield,39.52,0.11,0.08,0.3,0,0
9,3,CT,Connecticut,Hartford,43.94,0.19,0.21,0.37,0,0
9,5,CT,Connecticut,Litchfield,73.61,1.25,1.78,0.2,1,0
9,7,CT,Connecticut,Middlesex,67.64,0.1,0.06,0.17,0,0
9,9,CT,Connecticut,New Haven,46.28,0.2,0.2,0.2,0,0
9,11,CT,Connecticut,New London,54.37,0.06,0.06,0.58,0,0
9,13,CT,Connecticut,Tolland,68.19,0.78,1.11,0.04,0,0
9,15,CT,Connecticut,Windham,60.56,1.2,1.52,0.63,0,0
10,1,DE,Delaware,Kent,29.11,0,0,0.69,0,0
10,3,DE,Delaware,New Castle,21.79,0.02,0.01,0.29,0,0
10,5,DE,Delaware,Sussex,30.94,0.22,0.22,0.51,0,0
11,1,DC,District of Columbia,District of Columbia,0,0,0,0.34,0,0
12,1,FL,Florida,Alachua,48.68,0.3,0.34,0.43,0,0
12,3,FL,Florida,Baker,76.23,0.17,0.14,0.27,0,0
12,5,FL,Florida,Bay,71.38,0.38,0.48,0.65,0,0
12,7,FL,Florida,Bradford,80.34,1.14,1.59,0.39,1,0
12,9,FL,Florida,Brevard,34.85,0.06,0.05,0.42,0,0
12,11,FL,Florida,Broward,0.79,0.24,0.27,0.34,0,0
12,13,FL,Florida,Calhoun,90.72,2.37,3.9,1.09,1,0
12,15,FL,Florida,Charlotte,36.79,0,0,0.33,0,0
12,17,FL,Florida,Citrus,52.91,0,0,0.32,0,0
12,19,FL,Florida,Clay,69.75,0.49,0.55,0.15,0,0
12,21,FL,Florida,Collier,72.04,0.14,0.19,0.28,0,0
12,23,FL,Florida,Columbia,75.32,1.81,1.89,0.41,1,0
12,27,FL,Florida,DeSoto,18.27,0,0,0.36,1,0
12,29,FL,Florida,Dixie,79.23,32.63,46.6,0.36,1,0
12,31,FL,Florida,Duval,42.19,0.35,0.36,0.31,0,0
12,33,FL,Florida,Escambia,50.66,0.19,0.23,0.61,0,0
12,35,FL,Florida,Flagler,67.9,0.31,0.15,0.17,0,0
12,37,FL,Florida,Franklin,91.82,0,0,0.74,1,0
12,39,FL,Florida,Gadsden,70.95,5.25,6.93,0.19,0,0
12,41,FL,Florida,Gilchrist,49.73,3.25,3.33,0.18,0,0
12,43,FL,Florida,Glades,28.48,0,0,3.98,1,0
12,45,FL,Florida,Gulf,79.95,0,0,0.54,0,0
12,47,FL,Florida,Hamilton,63.02,0.95,0.96,0.58,1,0
12,49,FL,Florida,Hardee,28.21,0,0,0.24,1,0
12,51,FL,Florida,Hendry,10.09,0,0,1.93,1,0
12,53,FL,Florida,Hernando,61.26,0,0,0.32,0,0
12,55,FL,Florida,Highlands,14.67,0.48,0.52,0.26,0,0
12,57,FL,Florida,Hillsborough,20.83,0.2,0.19,0.38,0,0
12,59,FL,Florida,Holmes,66.27,0.92,1.04,1.48,1,0
12,61,FL,Florida,Indian River,12.33,0.04,0.04,0.31,0,0
12,63,FL,Florida,Jackson,62.42,5.21,12.17,0.76,1,0
12,65,FL,Florida,Jefferson,73.49,4.52,6.47,0.55,0,0
12,67,FL,Florida,Lafayette,79.68,0,0,2.29,1,1
12,69,FL,Florida,Lake,33.2,0.66,0.67,0.48,0,0
12,71,FL,Florida,Lee,33.57,0.08,0.09,0.24,0,0
12,73,FL,Florida,Leon,71.47,0.05,0.04,0.23,0,0
12,75,FL,Florida,Levy,65.14,1.23,1.65,0.3,1,0
12,77,FL,Florida,Liberty,92.23,61.06,63.86,1.08,1,1
12,79,FL,Florida,Madison,76.56,1.7,2.77,0.39,1,0
12,81,FL,Florida,Manatee,23.55,0.03,0.04,0.32,0,0
12,83,FL,Florida,Marion,51.82,0.79,0.9,0.36,0,0
12,85,FL,Florida,Martin,16.03,0.15,0.18,0.61,0,0
12,86,FL,Florida,Miami-Dade,0,0.21,0.19,0.2,0,0
12,87,FL,Florida,Monroe,18.93,0,0,0.29,1,0
12,89,FL,Florida,Nassau,67.16,6.03,13.8,0.34,0,0
12,91,FL,Florida,Okaloosa,80.04,0.01,0.01,0.68,0,0
12,93,FL,Florida,Okeechobee,10.36,0,0,1.04,1,0
12,95,FL,Florida,Orange,28.85,0.12,0.12,0.3,0,0
12,97,FL,Florida,Osceola,26.03,0.31,0.33,0.56,0,0
12,99,FL,Florida,Palm Beach,8.15,0.1,0.09,0.21,0,0
12,101,FL,Florida,Pasco,38.72,0.02,0.02,0.42,0,0
12,103,FL,Florida,Pinellas,8.35,0.23,0.37,0.38,0,0
12,105,FL,Florida,Polk,27.49,0.85,0.98,0.37,0,0
12,107,FL,Florida,Putnam,66.51,10.16,19.54,0.3,1,0
12,109,FL,Florida,St. Johns,55.85,0,0,0.44,0,0
12,111,FL,Florida,St. Lucie,14.07,0.54,0.62,0.44,0,0
12,113,FL,Florida,Santa Rosa,76.15,0.41,0.37,0.79,0,0
12,115,FL,Florida,Sarasota,24.45,0.05,0.05,0.2,0,0
12,117,FL,Florida,Seminole,29.1,0.18,0.16,0.28,0,0
12,119,FL,Florida,Sumter,40.16,0.82,1.28,0.34,0,0
